"c_muestra_wineseq","total"
"A02137",13
"A3E004",17
"A3E003",19
"A24A0T",24
"A3B002",24
"A17A05",33
"A02126",35
"A09A0X",36
"A16A01",36
"000A01",37
"000C09",37
"A02128",37
"A24A1N",43
"A27A02",43
"A03A02",44
"A21A03",47
"A24A1L",51
"A25A0P",56
"A20A03",66
"A24A0Y",67
"A12A02",69
"A31A00",69
"A09A0T",72
"A33A22",72
"A05A01",73
"A21A01",75
"A33A26",75
"WWW01R",75
"A33A25",76
"A09A0J",79
"A33A24",83
"A06A1M",84
"A24A1Y",84
"A29A24",84
"A37003",84
"A02062",86
"A20A01",86
"A25A0M",86
"A24A1M",87
"A09A0O",88
"A33A27",88
"A0213M",90
"A06A0L",93
"A24A1O",96
"A09A1J",100
"A25A0O",101
"A02127",102
"A33A20",102
"A17A1O",103
"A24A2A",104
"A02096",105
"A46001",105
"A17A0B",106
"A14A03",107
"A18A01",108
"A24A07",108
"WWW03P",109
"A17A01",113
"A19A01",113
"A24A18",113
"A46002",115
"A24A29",116
"A3E000",116
"E11004",118
"A02097",119
"A09A10",119
"A02034",121
"A02019",122
"A09A0V",122
"A19A03",123
"E11001",123
"A24A2N",124
"E11003",124
"A3K000",125
"A09A1B",126
"A3Q009",126
"A3T004",126
"A09A0Z",128
"A24A1K",132
"A3B001",136
"A02061",137
"A09A0K",137
"A02015",138
"A33A21",138
"A02014",140
"A46003",141
"E18001",141
"A24A10",142
"A24A17",142
"A46006",142
"A28A04",143
"A12A01",144
"A02124",146
"A10A02",146
"A09A0N",147
"A11A0B",147
"A24A19",147
"A19A02",148
"BMK03K",149
"A17A0L",150
"A25A0S",150
"WWW00A",150
"A17A0G",151
"A04A07",152
"A17A04",152
"A3Q007",152
"A24A1W",153
"A3B005",153
"E18000",153
"A46004",155
"A24A2B",158
"A05A0H",160
"A25A0T",160
"A24A01",161
"A3B004",162
"WWW007",162
"A17A0J",163
"A5601A",163
"A04A03",165
"A28A03",165
"A17A0A",167
"A17A09",168
"A02123",169
"A10A04",169
"A24A23",169
"A17A06",170
"A17A0E",171
"A24A11",171
"A09A0L",172
"A24A0N",172
"A17A0I",173
"WWW03S",173
"WWW044",173
"WWW047",173
"A09A14",174
"A17A0H",174
"A24A1P",174
"A3G001",174
"A17A1L",175
"A18A02",175
"A24A1X",175
"A3B000",175
"WWW02N",176
"WWW03J",176
"A06A01",177
"A3P00A",177
"A3B003",178
"A3D000",179
"A3P00E",179
"A3U003",179
"WWW042",179
"A17A0D",180
"A3B01K",181
"A3P00B",181
"A02024",182
"A3P00D",182
"A24A0K",183
"A24A22",183
"A37001",183
"A09A0M",185
"A09A1D",185
"A46000",185
"A24A05",186
"A24A0J",186
"A24A27",186
"WWW021",186
"A5N000",187
"A06A0H",188
"A24A0V",188
"A24A08",189
"A3T001",189
"A46008",189
"WWW02M",189
"A24A25",190
"A3U00F",190
"WWW02A",191
"A04A0F",192
"A05A04",192
"A09A0B",192
"A24A1U",192
"A17A0M",193
"A03A05",194
"A09A0Q",195
"A31A02",195
"A37002",195
"A3Q003",195
"A10A06",196
"A28A02",196
"A3Q006",196
"BMK03Q",197
"A24A1I",198
"A3D003",198
"A02066",199
"A02148",199
"A3F000",199
"A3F001",199
"APQ000",199
"A24A12",200
"A24A1J",201
"A29A23",201
"A37000",201
"A3U005",201
"APG013",201
"WWW02R",201
"A09A1H",204
"A46009",204
"WWW041",204
"A07A0D",205
"A24A02",205
"A3G000",206
"BMK03O",206
"A04A05",207
"A3Q001",207
"A17A03",208
"A5I000",208
"E08004",208
"WWW02Q",208
"A04A0D",209
"A24A1Q",209
"A37009",209
"A3U006",209
"A3P009",210
"A17A1F",211
"A24A1R",211
"A24A2M",211
"A3G002",211
"A47003",211
"APG006",211
"A24A13",212
"A3T002",212
"WWW030",212
"A5600Q",213
"A02049",214
"A06A03",215
"A06A09",215
"A06A1K",215
"A3Y003",215
"A24A26",216
"A24A06",217
"WWW04E",217
"A17A07",218
"A02144",220
"A31A05",220
"A3Q004",220
"BMK03G",220
"A14A02",221
"A24A04",221
"A29A22",221
"WWW017",221
"A3P00C",222
"BMK03S",222
"WWW03M",223
"E08002",224
"WWW04D",224
"A16A03",225
"A3H000",225
"E11002",225
"A24A14",226
"A06A07",227
"A24A1A",227
"A24A2H",227
"A24A1V",228
"000A06",229
"A22A05",229
"A24A1B",229
"A3S002",229
"A3U008",229
"E08003",229
"A06A0F",230
"A17A08",230
"A17A1H",230
"A29A06",230
"A29A09",230
"A02065",231
"A09A11",231
"A24A0L",231
"A3Q005",231
"A3H003",232
"A47001",232
"APY001",232
"APY002",232
"A05A06",233
"A37008",233
"A3S001",233
"A27A00",234
"A09A1C",235
"A24A2K",235
"BMK03R",235
"A3I003",236
"A29A14",237
"A31A07",237
"A3Q00P",237
"APS002",238
"WWW03Z",239
"A06A0P",240
"WWW045",240
"BMK03P",241
"E08001",241
"A3C000",242
"BMK03T",242
"A16A04",243
"A3Y001",244
"A04A0B",245
"A09A0P",245
"A22A03",245
"A24A1Z",245
"A3Q000",245
"000A0A",246
"A03A07",246
"A05A0B",246
"A24A1G",246
"A3D005",246
"A24A0X",248
"A24A1S",248
"WWW02D",248
"A3Q00M",249
"A24A0H",250
"A47000",250
"A09A0I",251
"A3H002",251
"A24A2D",252
"WWW002",252
"A04A0J",253
"A22A04",253
"A3S003",253
"A46007",253
"APY003",253
"BMK03U",253
"A0213B",255
"A3S007",256
"APY000",256
"A0214J",258
"A31A06",258
"A24A2E",259
"A24A2R",259
"A3Q00N",259
"A47002",259
"APG00U",259
"APQ001",259
"A3F002",260
"A5D000",260
"A3U00B",261
"A3H004",262
"A22A02",263
"A29A12",263
"A0214C",264
"A3S000",264
"WWW02K",264
"A02064",265
"A24A2L",266
"WWW01E",267
"A3Q008",269
"WWW023",269
"A22A01",270
"A24A0U",270
"A3Q00O",271
"WWW02H",271
"A24A1D",272
"A3700A",272
"A3U00E",272
"A24A0Z",273
"E08008",273
"A06A0B",274
"APG00V",274
"E02004",274
"A02094",276
"A5A000",276
"APY004",276
"A31A03",277
"A3T003",277
"A24A0W",278
"A24A2Q",278
"A04A0H",279
"A24A2S",279
"A47004",279
"APG00K",279
"BMK03V",279
"A0213J",280
"A02140",280
"WWW02W",280
"APS000",281
"A3D006",282
"A17A1K",283
"A24A2I",283
"A31A08",284
"A3D004",284
"A3Y002",284
"APG007",284
"A3H001",285
"E08009",286
"E0800B",287
"A24A2G",288
"BMK03W",288
"WWW027",289
"A0213S",290
"A07A0H",290
"A31A01",290
"A14A01",292
"BMK03H",292
"A3G003",293
"A46005",293
"A3V001",294
"A24A2J",295
"A3D002",295
"APG014",295
"E14000",295
"WWW03R",295
"A3S006",296
"WWW01V",296
"A02060",297
"A02020",300
"A3U002",300
"E0800A",300
"A09A09",302
"E08007",302
"E14004",302
"E14003",303
"A0213K",305
"A24A0Q",305
"A29A31",305
"A24A0C",306
"APS001",306
"WWW01D",306
"A5F000",310
"WWW01T",310
"A06A05",311
"A25A0R",311
"A29A39",312
"APR001",312
"A24A28",313
"A3I000",313
"B0100H",313
"A0213L",314
"A3D007",315
"B0100G",315
"A3U000",316
"A3V000",316
"A0213C",319
"BMK03M",319
"BMK03X",319
"A07A05",320
"A05A0D",322
"A17A1N",323
"A3I004",324
"APG00N",325
"000A08",326
"A0213F",326
"APG00Z",327
"E11000",327
"A31A04",328
"A3U00A",328
"A3D009",329
"A3U004",329
"BMK03I",329
"A02040",331
"APR000",331
"A17A1M",334
"A5G000",335
"APG012",335
"A03A04",336
"A24A0E",336
"A3U007",336
"E14001",336
"APG00X",338
"WWW018",338
"A3I002",339
"A29A30",340
"A36002",341
"A29A32",342
"B0100F",342
"BMK03L",343
"E14002",343
"A24A0P",344
"A24A20",344
"APG00J",344
"A02054",346
"A0214D",347
"A03A09",347
"A24A0D",347
"A24A2O",349
"A3Y000",349
"BMK03N",351
"A29A18",355
"A3I007",357
"A3U001",357
"A5B000",359
"A3G004",360
"E08006",361
"A3D008",362
"A06A0D",364
"A24A0S",365
"AB0000",365
"A29A05",366
"A07A03",368
"A07A0B",369
"A29A34",369
"APG00W",369
"A24A0M",370
"B0100D",371
"WWW01U",371
"A03A01",372
"WWW01Z",375
"A3I001",377
"BMK03J",378
"A5C000",383
"APG011",383
"A0214R",385
"A29A07",386
"APG010",387
"B0100E",387
"WWW029",388
"A3U00C",389
"WWW025",390
"A3I006",391
"A0214N",393
"A05A0F",393
"000C07",397
"WWW03U",399
"A5H000",406
"A37005",410
"A24A0O",420
"A3I005",422
"A03A06",427
"APG009",432
"A24A2T",440
"A36003",445
"A24A2P",458
"WWW02Y",458
"000A04",494
"A24A1E",494
"A37006",497
"A5600P",502
"A24A1F",518
"A24A16",528
"A24A0F",548
"WWW034",551
"E08005",600
